iter	Passed	Remaining
0	75	75806
1	146	72981
2	225	74991
3	290	72215
4	354	70486
5	445	73842
6	540	76678
7	612	75946
8	679	74803
9	740	73269
10	779	70101
11	864	71200
12	884	67136
13	969	68295
14	1031	67751
15	1083	66650
16	1136	65706
17	1187	64786
18	1202	62102
19	1257	61608
20	1316	61359
21	1359	60435
22	1413	60052
23	1467	59676
24	1522	59375
25	1580	59194
26	1618	58332
27	1670	57999
28	1723	57706
29	1740	56267
30	1772	55398
31	1827	55271
32	1880	55092
33	1921	54592
34	1974	54448
35	2027	54289
36	2042	53171
37	2095	53045
38	2147	52911
39	2171	52114
40	2223	52010
41	2277	51948
42	2332	51918
43	2386	51850
44	2437	51734
45	2485	51546
46	2534	51397
47	2556	50699
48	2614	50733
49	2630	49973
50	2656	49437
51	2707	49367
52	2738	48925
53	2770	48527
54	2821	48485
55	2874	48450
56	2903	48041
57	2935	47676
58	2992	47728
59	3047	47740
60	3098	47701
61	3151	47672
62	3205	47672
63	3259	47664
64	3311	47641
65	3363	47600
66	3412	47514
67	3433	47061
68	3488	47075
69	3505	46569
70	3553	46498
71	3607	46492
72	3646	46303
73	3707	46391
74	3760	46377
75	3815	46384
76	3873	46431
77	3926	46417
78	3981	46412
79	4036	46423
80	4089	46400
81	4142	46372
82	4196	46358
83	4250	46354
84	4303	46320
85	4353	46273
86	4405	46236
87	4459	46213
88	4511	46174
89	4568	46188
90	4620	46152
91	4673	46121
92	4725	46084
93	4778	46057
94	4832	46038
95	4886	46011
96	4950	46085
97	5008	46097
98	5063	46081
99	5115	46040
100	5171	46029
101	5232	46064
102	5290	46073
103	5347	46067
104	5402	46049
105	5461	46061
106	5515	46034
107	5577	46061
108	5641	46115
109	5696	46092
110	5750	46056
111	5801	45996
112	5853	45950
113	5905	45899
114	5958	45850
115	6008	45790
116	6061	45743
117	6113	45694
118	6170	45684
119	6224	45643
120	6284	45656
121	6341	45635
122	6402	45649
123	6455	45607
124	6517	45624
125	6570	45578
126	6624	45534
127	6676	45486
128	6736	45483
129	6786	45419
130	6838	45362
131	6891	45317
132	6949	45303
133	7000	45243
134	7051	45183
135	7102	45124
136	7153	45064
137	7206	45013
138	7261	44978
139	7313	44926
140	7364	44864
141	7414	44797
142	7464	44734
143	7520	44707
144	7580	44698
145	7634	44656
146	7692	44637
147	7746	44595
148	7806	44585
149	7859	44537
150	7910	44475
151	7960	44408
152	8009	44341
153	8059	44275
154	8108	44205
155	8160	44149
156	8221	44145
157	8273	44092
158	8323	44026
159	8373	43958
160	8424	43899
161	8473	43831
162	8523	43767
163	8574	43708
164	8627	43658
165	8677	43596
166	8728	43539
167	8780	43482
168	8830	43418
169	8881	43364
170	8933	43306
171	8983	43248
172	9034	43186
173	9083	43120
174	9134	43061
175	9183	42996
176	9232	42929
177	9286	42886
178	9384	43044
179	9450	43050
180	9501	42992
181	9552	42933
182	9602	42868
183	9653	42812
184	9708	42768
185	9761	42720
186	9814	42669
187	9865	42611
188	9916	42552
189	9965	42486
190	10015	42423
191	10071	42383
192	10132	42368
193	10185	42317
194	10234	42251
195	10285	42190
196	10335	42129
197	10385	42067
198	10435	42003
199	10483	41933
200	10536	41885
201	10588	41830
202	10638	41766
203	10689	41708
204	10737	41642
205	10788	41583
206	10836	41514
207	10886	41452
208	10935	41386
209	10986	41331
210	11039	41279
211	11090	41223
212	11140	41163
213	11191	41104
214	11242	41046
215	11293	40992
216	11342	40927
217	11392	40866
218	11441	40801
219	11490	40738
220	11540	40679
221	11596	40638
222	11645	40577
223	11696	40519
224	11746	40460
225	11795	40398
226	11844	40334
227	11895	40276
228	11944	40215
229	11993	40153
230	12044	40095
231	12094	40035
232	12144	39977
233	12194	39919
234	12244	39858
235	12295	39805
236	12346	39748
237	12392	39675
238	12441	39614
239	12490	39553
240	12540	39494
241	12591	39438
242	12640	39376
243	12692	39325
244	12753	39301
245	12809	39260
246	12868	39229
247	12917	39170
248	12970	39120
249	13019	39059
250	13069	39001
251	13119	38942
252	13170	38887
253	13220	38829
254	13270	38770
255	13318	38707
256	13370	38654
257	13421	38598
258	13470	38539
259	13521	38485
260	13575	38436
261	13629	38390
262	13683	38344
263	13733	38286
264	13783	38229
265	13832	38168
266	13881	38109
267	13932	38054
