iter	MultiClass
0	1.878305026
1	1.591858247
2	1.407352337
3	1.278094232
4	1.173721589
5	1.090702954
6	1.014235427
7	0.9489837409
8	0.9063330401
9	0.8513767394
10	0.8115322975
11	0.7753705595
12	0.7501092997
13	0.7215621214
14	0.6904011537
15	0.6736559978
16	0.6564266407
17	0.6322715921
18	0.6182688916
19	0.5964090712
20	0.5813154054
21	0.5694492475
22	0.5508072493
23	0.5458116536
24	0.5332981389
25	0.5254513528
26	0.5139502241
27	0.5032078028
28	0.4979321665
29	0.4873126006
30	0.4749827187
31	0.4689174628
32	0.4594295646
33	0.4545170163
34	0.4489765191
35	0.4429643738
36	0.4380656131
37	0.4346936235
38	0.4279519033
39	0.4245632753
40	0.4214663618
41	0.4183451597
42	0.4175797002
43	0.4167513183
44	0.4126629294
45	0.4095394403
46	0.4063834279
47	0.4050060745
48	0.4030793573
49	0.3989105482
50	0.3982081981
51	0.3927394616
52	0.3924866813
53	0.3913981292
54	0.3889247643
55	0.3869628347
56	0.3846528224
57	0.3825180408
58	0.3805522038
59	0.3792183289
60	0.3789537241
61	0.378702794
62	0.3779002143
63	0.3749669066
64	0.3732964918
65	0.371820068
66	0.3704912235
67	0.3685022625
68	0.3677658545
69	0.3662188607
70	0.3651793481
71	0.3649419536
72	0.3632569019
73	0.3616377371
74	0.3607621027
75	0.359282105
76	0.3575032763
77	0.35679853
78	0.356211177
79	0.3536471735
80	0.3504056916
81	0.3494468761
82	0.3438456716
83	0.3426361472
84	0.340834752
85	0.3399236692
86	0.3382890254
87	0.338166762
88	0.3377524355
89	0.3371311695
90	0.3351923412
91	0.3345734661
92	0.3309198124
93	0.3295749853
94	0.3279398263
95	0.3272955563
96	0.3257926329
97	0.3252483936
98	0.3248652703
99	0.3225313753
100	0.3209995864
101	0.3202544225
102	0.3185181806
103	0.3171699898
104	0.3168390079
105	0.3157609941
106	0.3153973707
107	0.3145253341
108	0.3134290582
109	0.310599849
110	0.3095477504
111	0.3089777757
112	0.3080111503
113	0.306648682
114	0.3058801742
115	0.30483149
116	0.3028147538
117	0.3022973884
118	0.3014555586
119	0.3007532184
120	0.2998419283
121	0.2995129255
122	0.2983993277
123	0.2977285601
124	0.2970624794
125	0.2960991855
126	0.2937869733
127	0.2926981016
128	0.292015555
129	0.2913665884
130	0.2904661829
131	0.2886086536
132	0.2879973071
133	0.2875723874
134	0.2870037249
135	0.2850888876
136	0.2839795357
137	0.2833850343
138	0.28293081
139	0.2823680502
140	0.281665883
141	0.2810380768
142	0.2793762897
143	0.2787818709
144	0.2781992195
145	0.2776094812
146	0.2768029565
147	0.2760988846
148	0.2755736702
149	0.27476692
150	0.2742878309
151	0.2735996607
152	0.2732595384
153	0.2726543946
154	0.2718946962
155	0.2714863915
156	0.2711918914
157	0.2706404175
158	0.2692371982
159	0.2689297132
160	0.2681527794
161	0.267631786
162	0.2673092465
163	0.2669658845
164	0.2665410757
165	0.2662950517
166	0.2652792862
167	0.2645538846
168	0.2632117731
169	0.2628759417
170	0.262496484
171	0.2606601629
172	0.2601764428
173	0.2592182769
174	0.2585781765
175	0.257826399
176	0.2571137212
177	0.2564490711
178	0.2554687494
179	0.2550019018
180	0.253676309
181	0.2531939018
182	0.2526414934
183	0.2518532848
184	0.2512989041
185	0.2506322546
186	0.2503565159
187	0.2491928096
188	0.2485679205
189	0.2481261092
190	0.247820154
191	0.2472122894
192	0.2465352545
193	0.2461019366
194	0.2459220716
195	0.2455341591
196	0.2448838714
197	0.2443367491
198	0.2440158981
199	0.2433943635
200	0.2428213741
201	0.2422445778
202	0.2419196589
203	0.2413403452
204	0.2406784601
205	0.2403996311
206	0.2400804777
207	0.2396746368
208	0.2393476654
209	0.2391008412
210	0.2380666868
211	0.2373034649
212	0.2367488118
213	0.2364431338
214	0.2360106741
215	0.2356234501
216	0.2349163396
217	0.234488884
218	0.2340491845
219	0.2336116409
220	0.2330443151
221	0.2326863555
222	0.2322397569
223	0.2315085368
224	0.2311064179
225	0.2308130241
226	0.2304911467
227	0.2300456594
228	0.2295629759
229	0.229173724
230	0.2284311966
231	0.2278994886
232	0.2275155562
233	0.2270305595
234	0.2266949268
235	0.2263397528
236	0.2261319687
237	0.2250406949
238	0.2248758168
239	0.2244051125
240	0.2237813121
241	0.2234561108
242	0.2229511896
243	0.2226400186
244	0.2221623878
245	0.2219328805
246	0.2216510329
247	0.2209649158
248	0.2206275267
249	0.2202525161
250	0.2198681677
251	0.2193998094
252	0.2191227118
253	0.2188655846
254	0.2187169075
255	0.2182586848
256	0.2180292216
257	0.21733374
258	0.2167955793
259	0.216190738
260	0.2158101508
261	0.2155733591
262	0.2154185109
263	0.2151985875
264	0.2148200521
265	0.2145102624
266	0.2140051214
267	0.2138345265
268	0.2135412779
269	0.213153274
270	0.212621208
271	0.2123069329
272	0.2119258369
273	0.2113749199
274	0.2107659833
275	0.2104396613
276	0.2101572886
277	0.2097328068
278	0.2092590428
279	0.2089076132
280	0.2085814801
281	0.2083030478
282	0.2080642117
283	0.2077202697
284	0.2072337442
285	0.206644397
286	0.2061139956
287	0.2058387288
288	0.2055950157
289	0.2052343517
290	0.2047336041
291	0.2043794411
292	0.2039750349
293	0.203791936
294	0.2032977063
295	0.2029755455
296	0.2027118655
297	0.2024524849
298	0.2021633893
299	0.2018813364
300	0.2015984419
301	0.2008952284
302	0.200611741
303	0.2002367339
304	0.2000413984
305	0.1996962626
306	0.1994690734
307	0.1987805723
308	0.1986560949
309	0.1983675903
310	0.1980353739
311	0.1977661926
312	0.1974443412
313	0.1969854662
314	0.1967270976
315	0.1966318813
316	0.1961695913
317	0.1960124951
318	0.195705161
319	0.1953012088
320	0.1950517509
321	0.1947531068
322	0.1944170912
323	0.1942912307
324	0.1940317949
325	0.1935997568
326	0.1934137996
327	0.193195726
328	0.1928871038
329	0.192561242
330	0.1923306617
331	0.1919782756
332	0.1917072908
333	0.1914148732
334	0.1912689148
335	0.1910939484
336	0.1909472257
337	0.1906072136
338	0.1902687214
339	0.1898890938
340	0.1894966071
341	0.189073737
342	0.1888120349
343	0.1886635417
344	0.1881411284
345	0.1879132792
346	0.1877653542
347	0.187489209
348	0.1872226885
349	0.1868825018
350	0.1866181045
351	0.1864968806
352	0.1863250264
353	0.1859225334
354	0.1857806785
355	0.185394981
356	0.1851087373
357	0.1848251463
358	0.1844096464
359	0.1842333985
360	0.1836206857
361	0.1833726093
362	0.183090067
363	0.1829031515
364	0.1828047424
365	0.1824682946
366	0.1820106451
367	0.181837427
368	0.181588794
369	0.1811625555
370	0.1809256175
371	0.1806126633
372	0.1804732925
373	0.1799106676
374	0.1797287047
375	0.1795218344
376	0.1793420793
377	0.1791369512
378	0.1789317844
379	0.1787538012
380	0.1784581336
381	0.178372923
382	0.1780810167
383	0.1779821245
384	0.1776501506
385	0.1772262475
386	0.1768403441
387	0.1765041391
388	0.1761227871
389	0.1758991261
390	0.175663697
391	0.1754652312
392	0.1751663059
393	0.1748676217
394	0.1747321426
395	0.1745555285
396	0.1743410618
397	0.1740096463
398	0.1736911477
399	0.1733223505
400	0.1730668505
401	0.1723992758
402	0.1722422857
403	0.1719256797
404	0.1717667352
405	0.1714962505
406	0.1709942946
407	0.1706077214
408	0.170383805
409	0.1702217755
410	0.1699520578
411	0.1695407166
412	0.169164096
413	0.1688212786
414	0.1686165825
415	0.1684155181
416	0.1681457968
417	0.1678184784
418	0.16759809
419	0.1672557498
420	0.1669277325
421	0.1668208251
422	0.1666226871
423	0.1662052104
424	0.1660920724
425	0.1659323464
426	0.1656525301
427	0.1650690439
428	0.1648857847
429	0.1644714714
430	0.1643346261
431	0.1640649343
432	0.1637333104
433	0.1635374821
434	0.1634194503
435	0.163286047
436	0.1628834648
437	0.1627100276
438	0.1625292292
439	0.1621167667
440	0.1618589304
441	0.161625688
442	0.161517574
443	0.1611001236
444	0.1606188672
445	0.1603808868
446	0.1601500201
447	0.1600392497
448	0.1598380304
449	0.1596753742
450	0.1595677431
451	0.1593706844
452	0.159124688
453	0.1587539019
454	0.1585853447
455	0.158262662
456	0.1581063993
457	0.1579812719
458	0.1578512279
459	0.1577350035
460	0.1576478236
461	0.1574120041
462	0.1571152569
463	0.1569946745
464	0.1568295182
465	0.1567960805
466	0.156607432
467	0.1562394893
468	0.1561061698
469	0.1559234376
470	0.1556574051
471	0.1554636763
472	0.155229639
473	0.1548713363
474	0.1544617671
475	0.1543191541
476	0.1540885753
477	0.1539678339
478	0.1535914148
479	0.1533046039
480	0.1529225152
481	0.1526158657
482	0.1525290123
483	0.1520546779
484	0.151713267
485	0.1515336335
486	0.1513713437
487	0.1512990593
488	0.1511531415
489	0.1509111849
490	0.1506806638
491	0.1503786096
492	0.1502391884
493	0.1500947517
494	0.1499915968
495	0.1497758969
496	0.149483703
497	0.1490879196
498	0.148863781
499	0.1487601619
500	0.1484529251
501	0.14799874
502	0.1478225278
503	0.1475915122
504	0.1473180673
505	0.1471541921
506	0.146945419
507	0.1467462437
508	0.1466014251
509	0.1463120554
510	0.1460879332
511	0.145763402
512	0.1456011993
513	0.1453988629
514	0.1452407703
515	0.1450671808
516	0.1448498866
517	0.144731917
518	0.1446200016
519	0.1445135316
520	0.1443102916
521	0.1442154315
522	0.1441339513
523	0.1440051363
524	0.143615615
525	0.1434610131
526	0.1432010804
527	0.1430331373
528	0.1428832482
529	0.142624945
530	0.1423096267
531	0.1421978092
532	0.1420481942
533	0.1419093474
534	0.1417398671
535	0.141585102
536	0.1414640127
537	0.1412570117
538	0.1409972414
539	0.1407631675
540	0.1405666026
541	0.1403972672
542	0.1402005566
543	0.1400539047
544	0.1397965543
545	0.1395842699
546	0.1394642104
547	0.1394046885
548	0.1393198597
549	0.1391373214
550	0.1389962113
551	0.1388440343
552	0.1386540105
553	0.1384886504
554	0.1382664819
555	0.1380593924
556	0.1378407598
557	0.1375370516
558	0.1371865719
559	0.1369397945
560	0.136807493
561	0.1367173907
562	0.1365387035
563	0.1363790714
564	0.1360373795
565	0.1357793279
566	0.1355831427
567	0.1353422215
568	0.1351950745
569	0.1351101211
570	0.134914914
571	0.134756142
572	0.1346410502
573	0.1345038109
574	0.1342933157
575	0.1340107934
576	0.1337724908
577	0.1335880487
578	0.1335329578
579	0.1332150157
580	0.1331136383
581	0.1329997457
582	0.1328074952
583	0.1327180372
584	0.1323942083
585	0.132176405
586	0.132090032
587	0.1319578816
588	0.1318438959
589	0.1317025919
590	0.1315631708
591	0.1313752639
592	0.1313197923
593	0.131191603
594	0.1309774343
595	0.1308301542
596	0.1306242573
597	0.1305238851
598	0.130356334
599	0.1301384937
600	0.1300574085
601	0.1298880675
602	0.1297467088
603	0.1295078892
604	0.1293469033
605	0.1292018483
606	0.1290073441
607	0.1288434447
608	0.1286055656
609	0.1284497725
610	0.1283257601
611	0.1282275728
612	0.1281556835
613	0.1279688116
614	0.1278229834
615	0.1277505437
616	0.1275239839
617	0.1272538643
618	0.1270967844
619	0.1269236977
620	0.1268686527
621	0.1267797677
622	0.1266188629
623	0.126458905
624	0.12613837
625	0.125984013
626	0.1258251576
627	0.1257105326
628	0.1255933589
629	0.1255075712
630	0.1253489664
631	0.1252852903
632	0.1251866178
633	0.1250920546
634	0.1250060724
635	0.1248767546
636	0.1247811777
637	0.1245773684
638	0.1244446213
639	0.1242483536
640	0.1240747059
641	0.1239546484
642	0.1237176835
643	0.1234942852
644	0.1233932826
645	0.1233300518
646	0.1231490811
647	0.1230608673
648	0.1229195193
649	0.1227873829
650	0.1226845956
651	0.1225471057
652	0.1223778029
653	0.1221893518
654	0.1220582654
655	0.1219247673
656	0.1218600114
657	0.1216086248
658	0.1213789649
659	0.1210695576
660	0.120629871
661	0.120575348
662	0.1205397398
663	0.1203897465
664	0.1201894754
665	0.1200924465
666	0.120003391
667	0.1199274504
668	0.1198237213
669	0.1197024818
670	0.1195978
671	0.1195444016
672	0.1192772765
673	0.1191830906
674	0.1190895221
675	0.1189039295
676	0.118596148
677	0.1185207043
678	0.1183998782
679	0.118181198
680	0.1180678944
681	0.1179047753
682	0.117804788
683	0.1176002687
684	0.1174472299
685	0.1172752248
686	0.1172007857
687	0.1170121015
688	0.1169089087
689	0.1167374218
690	0.1166115793
691	0.116498146
692	0.1163430663
693	0.1162545213
694	0.1161960689
695	0.1160687301
696	0.1159191991
697	0.1158035383
698	0.1156388255
699	0.1154262068
700	0.1152965894
701	0.1151577279
702	0.1149573125
703	0.1148705727
704	0.1147604387
705	0.1146284371
706	0.114509948
707	0.1143110508
708	0.1141964199
709	0.1141035692
710	0.1139334566
711	0.1137902641
712	0.1135921824
713	0.1135083221
714	0.1133872322
715	0.1131438104
716	0.113034729
717	0.1129649411
718	0.1128802222
719	0.1127683804
720	0.1127078476
721	0.1125351445
722	0.112486006
723	0.1123344475
724	0.1122559843
725	0.1121044391
726	0.1120554141
727	0.1119739317
728	0.1118971105
729	0.1117989671
730	0.1115798508
731	0.111416672
732	0.1113161789
733	0.1112328942
734	0.1110822652
735	0.1109925292
736	0.1109308754
737	0.1108700229
738	0.1107257256
739	0.1105984638
740	0.1105130652
741	0.1102707633
742	0.1101363199
743	0.1099918161
744	0.1099241008
745	0.1098385029
746	0.1096885449
747	0.1095080429
748	0.1092359006
749	0.109182762
750	0.1090171969
751	0.1089263891
752	0.1088006008
753	0.1086047233
754	0.1084762312
755	0.1082850837
756	0.1081709214
757	0.1080119625
758	0.1078204657
759	0.1077970767
760	0.1077286987
761	0.1076458958
762	0.1075291897
763	0.1073996345
764	0.1073133364
765	0.1071714393
766	0.1070366417
767	0.1068990497
768	0.1067804264
769	0.1066308381
770	0.106501861
771	0.1063706455
772	0.1062906637
773	0.1061912367
774	0.1060703151
775	0.105954999
776	0.10582272
777	0.1057212298
778	0.1055783801
779	0.1054187229
780	0.1051944608
781	0.1049714887
782	0.1049096576
783	0.1047618792
784	0.1045571229
785	0.1044780046
786	0.1043777647
787	0.1042441814
788	0.1040499671
789	0.103978074
790	0.1038080113
791	0.1036588047
792	0.1034638736
793	0.1032739835
794	0.1031883169
795	0.1030379644
796	0.1029092779
797	0.102807764
798	0.1027223983
799	0.1026426226
800	0.102507508
801	0.1023146637
802	0.1022251203
803	0.1019933381
804	0.1019333838
805	0.1017683106
806	0.1017143213
807	0.1016530875
808	0.1015059516
809	0.1013830822
810	0.1013040463
811	0.1012158504
812	0.1011082604
813	0.101012431
814	0.1009344306
815	0.1007863083
816	0.1006428632
817	0.1005096966
818	0.1004771051
819	0.1003843195
820	0.1002684921
821	0.1000295743
822	0.09992719645
823	0.09979556059
824	0.09963964226
825	0.09958577517
826	0.09950037921
827	0.09936412724
828	0.0993001323
829	0.09918524579
830	0.09910022725
831	0.09902591289
832	0.0989230354
833	0.09882119947
834	0.09872353696
835	0.09865298883
836	0.09846712187
837	0.09839260879
838	0.09830121032
839	0.0982276671
840	0.09817493112
841	0.09805774451
842	0.09797995051
843	0.09773355288
844	0.09769012868
845	0.09759358844
846	0.09755740072
847	0.09746190083
848	0.09736137887
849	0.09712867446
850	0.09695952422
851	0.09685112481
852	0.09678420371
853	0.09673634538
854	0.09667618738
855	0.09656203428
856	0.09639376761
857	0.09626518393
858	0.09618671221
859	0.09613930759
860	0.09605118119
861	0.09594558807
862	0.0958460582
863	0.09576516814
864	0.09556423044
865	0.09553019827
866	0.0954356645
867	0.0953048197
868	0.09523818777
869	0.09516730264
870	0.09508145471
871	0.09502554667
872	0.09490417687
873	0.09478763242
874	0.09465623814
875	0.09458045898
876	0.09451037259
877	0.09444579818
878	0.09418053991
879	0.09408188865
880	0.09404281645
881	0.09391654135
882	0.09389490398
883	0.09383828842
884	0.09376543297
885	0.0935608494
886	0.09349756785
887	0.09337893381
888	0.09329894641
889	0.09322548666
890	0.09305474049
891	0.09301046901
892	0.09287207186
