iter	Passed	Remaining
0	48	48226
1	95	47682
2	144	48188
3	193	48277
4	243	48417
5	292	48463
6	342	48567
7	392	48668
8	445	49000
9	492	48786
10	519	46718
11	566	46677
12	583	44301
13	634	44683
14	682	44788
15	731	44979
16	782	45228
17	831	45342
18	847	43746
19	896	43949
20	947	44148
21	986	43842
22	1035	43995
23	1086	44202
24	1136	44314
25	1187	44469
26	1223	44101
27	1270	44115
28	1321	44237
29	1335	43171
30	1354	42353
31	1403	42448
32	1451	42546
33	1488	42295
34	1539	42452
35	1590	42591
36	1605	41785
37	1655	41903
38	1704	42000
39	1725	41409
40	1778	41608
41	1825	41637
42	1873	41700
43	1923	41796
44	1973	41884
45	2019	41880
46	2067	41919
47	2087	41397
48	2146	41651
49	2167	41181
50	2195	40848
51	2239	40836
52	2267	40514
53	2295	40208
54	2344	40282
55	2394	40362
56	2421	40057
57	2448	39771
58	2498	39848
59	2546	39892
60	2595	39950
61	2644	40014
62	2693	40056
63	2743	40117
64	2792	40168
65	2841	40212
66	2886	40199
67	2907	39845
68	2959	39928
69	2972	39497
70	3016	39475
71	3066	39519
72	3102	39396
73	3147	39381
74	3196	39427
75	3248	39491
76	3297	39529
77	3346	39557
78	3395	39590
79	3449	39663
80	3496	39665
81	3552	39767
82	3601	39791
83	3652	39834
84	3703	39863
85	3753	39887
86	3802	39900
87	3854	39951
88	3903	39956
89	3953	39972
90	4002	39978
91	4050	39981
92	4100	39989
93	4150	40002
94	4199	40002
95	4249	40013
96	4299	40024
97	4350	40042
98	4399	40039
99	4449	40046
100	4498	40039
101	4548	40041
102	4598	40043
103	4647	40038
104	4698	40047
105	4749	40054
106	4798	40048
107	4847	40038
108	4896	40025
109	4945	40015
110	4995	40011
111	5045	40003
112	5096	40003
113	5146	39997
114	5194	39977
115	5244	39966
116	5294	39957
117	5344	39944
118	5393	39931
119	5443	39916
120	5493	39905
121	5544	39902
122	5593	39883
123	5644	39873
124	5692	39849
125	5741	39828
126	5793	39824
127	5841	39794
128	5891	39778
129	5941	39760
130	5991	39743
131	6041	39724
132	6092	39714
133	6140	39686
134	6191	39673
135	6240	39646
136	6289	39619
137	6339	39596
138	6389	39576
139	6438	39550
140	6492	39555
141	6542	39529
142	6591	39504
143	6640	39474
144	6689	39447
145	6740	39428
146	6791	39410
147	6842	39388
148	6890	39351
149	6938	39318
150	6987	39289
151	7035	39252
152	7085	39224
153	7134	39192
154	7183	39162
155	7234	39140
156	7283	39109
157	7335	39092
158	7385	39062
159	7434	39032
160	7483	39000
161	7534	38972
162	7583	38943
163	7632	38907
164	7683	38881
165	7733	38851
166	7780	38811
167	7830	38778
168	7880	38751
169	7931	38726
170	7982	38699
171	8032	38667
172	8080	38629
173	8130	38595
